time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-25 00:00:00+00:00,4,3,3.0,1.0
2023-05-26 00:00:00+00:00,5,4,4.0,4.0
2023-05-27 00:00:00+00:00,4,3,,
2023-05-28 00:00:00+00:00,4,3,1.0,1.0
2023-05-29 00:00:00+00:00,5,4,3.0,3.0
2023-05-30 00:00:00+00:00,5,3,10.0,2.0
2023-05-31 00:00:00+00:00,4,3,2.0,2.0
2023-06-01 00:00:00+00:00,4,3,16.0,5.0
2023-06-02 00:00:00+00:00,4,3,28.0,4.0
2023-06-03 00:00:00+00:00,4,3,1.0,1.0
2023-06-04 00:00:00+00:00,4,3,,
2023-06-05 00:00:00+00:00,5,4,25.0,5.0
2023-06-06 00:00:00+00:00,4,3,3.0,3.0
2023-06-07 00:00:00+00:00,1,1,1.0,1.0
