time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-20 00:00:00+00:00,2,2,8.0,2.0
2023-10-21 00:00:00+00:00,3,3,11.0,1.0
2023-10-22 00:00:00+00:00,4,4,1.0,1.0
2023-10-23 00:00:00+00:00,5,4,3.0,2.0
2023-10-24 00:00:00+00:00,8,2,2.0,1.0
2023-10-25 00:00:00+00:00,5,4,2.0,2.0
2023-10-26 00:00:00+00:00,5,4,2.0,1.0
2023-10-27 00:00:00+00:00,3,3,,
2023-10-28 00:00:00+00:00,3,3,2.0,2.0
2023-10-29 00:00:00+00:00,3,3,1.0,1.0
2023-10-30 00:00:00+00:00,4,4,2.0,2.0
2023-10-31 00:00:00+00:00,3,3,6.0,6.0
2023-11-01 00:00:00+00:00,2,2,7.0,5.0
2023-11-02 00:00:00+00:00,3,2,46.0,20.0
