time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-12 00:00:00+00:00,1,1,22.0,2.0
2024-01-13 00:00:00+00:00,4,4,,
2024-01-14 00:00:00+00:00,1,1,,
2024-01-15 00:00:00+00:00,5,5,,
2024-01-16 00:00:00+00:00,2,2,2.0,2.0
2024-01-17 00:00:00+00:00,1,1,1.0,1.0
2024-01-18 00:00:00+00:00,1,1,1.0,1.0
2024-01-19 00:00:00+00:00,1,1,1.0,1.0
2024-01-20 00:00:00+00:00,1,1,16.0,2.0
2024-01-21 00:00:00+00:00,1,1,2.0,1.0
2024-01-22 00:00:00+00:00,4,3,4.0,4.0
2024-01-23 00:00:00+00:00,2,2,5.0,5.0
2024-01-24 00:00:00+00:00,1,1,,
2024-01-25 00:00:00+00:00,2,1,1.0,1.0
